dataset,auc_roc,n_valid,n_anomaly,best_channel
001_Genesis_id_1_Sensor_tr_4055_1st_15538,0.843692,11973,50,11
002_MSL_id_1_Sensor_tr_500_1st_900,0.988111,1135,11,12
003_MSL_id_2_Sensor_tr_883_1st_1238,0.946409,2460,228,12
004_MSL_id_3_Sensor_tr_530_1st_630,0.999281,1708,29,33
005_MSL_id_4_Sensor_tr_855_1st_2700,0.949298,2375,71,43
006_MSL_id_5_Sensor_tr_1150_1st_1250,0.718467,3712,331,19
007_MSL_id_6_Sensor_tr_980_1st_3550,0.979638,2750,151,27
008_MSL_id_7_Sensor_tr_656_1st_1630,0.898682,1777,222,0
009_MSL_id_8_Sensor_tr_714_1st_1390,0.821694,1950,21,0
010_MSL_id_9_Sensor_tr_554_1st_1172,0.943817,1471,69,20
011_MSL_id_10_Sensor_tr_1525_1st_4590,0.979792,4383,131,48
012_MSL_id_11_Sensor_tr_539_1st_940,0.998931,1425,101,27
013_MSL_id_12_Sensor_tr_554_1st_1200,0.923316,1472,26,20
014_MSL_id_13_Sensor_tr_1525_1st_4575,0.977910,4383,181,48
015_MSL_id_14_Sensor_tr_575_1st_1250,0.982966,1536,301,54
016_MSL_id_15_Sensor_tr_500_1st_780,0.826107,404,112,46
017_MSL_id_16_Sensor_tr_512_1st_1850,0.996654,1345,181,31
018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732,0.932950,28889,2306,3
019_MITDB_id_1_Medical_tr_37500_1st_103211,0.750716,112308,18610,1
020_MITDB_id_2_Medical_tr_50000_1st_52315,0.890791,599808,1047,1
021_MITDB_id_3_Medical_tr_50000_1st_57595,0.614572,449808,8810,0
022_MITDB_id_4_Medical_tr_50000_1st_54253,0.611077,249808,13293,0
023_MITDB_id_5_Medical_tr_25000_1st_36913,0.830300,74808,465,1
024_MITDB_id_6_Medical_tr_50000_1st_58118,0.778779,149808,353,1
025_MITDB_id_7_Medical_tr_37500_1st_88864,0.875889,112308,3696,0
026_MITDB_id_8_Medical_tr_30495_1st_30595,0.851238,369313,26141,0
027_MITDB_id_9_Medical_tr_25000_1st_52255,0.798385,74808,433,0
028_MITDB_id_10_Medical_tr_37500_1st_39948,0.625358,112308,574,0
029_MITDB_id_11_Medical_tr_50000_1st_518037,0.767419,549808,1750,1
030_MITDB_id_12_Medical_tr_50000_1st_84572,0.657983,569808,26771,0
031_MITDB_id_13_Medical_tr_50000_1st_79433,0.682537,399808,9807,0
032_GHL_id_1_Sensor_tr_50000_1st_65001,0.441987,149809,1850,2
033_GHL_id_2_Sensor_tr_50000_1st_51001,0.394444,149809,1847,14
034_GHL_id_3_Sensor_tr_50000_1st_122001,0.335895,149809,1919,14
035_GHL_id_4_Sensor_tr_50000_1st_90001,0.428716,149809,2713,2
036_GHL_id_5_Sensor_tr_50000_1st_67147,0.316801,149809,2283,11
037_GHL_id_6_Sensor_tr_50000_1st_80001,0.463689,149809,1866,2
038_GHL_id_7_Sensor_tr_50000_1st_100001,0.425402,149809,1695,10
039_GHL_id_8_Sensor_tr_50000_1st_63030,0.391241,149809,1168,5
040_GHL_id_9_Sensor_tr_50000_1st_92001,0.304438,149809,2387,11
041_GHL_id_10_Sensor_tr_50000_1st_57001,0.487774,149809,1855,4
042_GHL_id_11_Sensor_tr_50000_1st_150001,0.502443,149809,1546,0
043_GHL_id_12_Sensor_tr_39938_1st_40038,0.390425,159871,959,2
044_GHL_id_13_Sensor_tr_50000_1st_145001,0.389545,149809,1849,2
045_GHL_id_14_Sensor_tr_50000_1st_85076,0.492730,149809,1771,2
046_GHL_id_15_Sensor_tr_50000_1st_156462,0.823706,149809,1239,1
047_GHL_id_16_Sensor_tr_50000_1st_77001,0.307611,149809,2728,14
048_GHL_id_17_Sensor_tr_50000_1st_154001,0.413570,149809,3583,14
049_GHL_id_18_Sensor_tr_50000_1st_109001,0.536471,149809,5549,14
050_GHL_id_19_Sensor_tr_43750_1st_55001,0.780933,131059,1129,1
051_GHL_id_20_Sensor_tr_50000_1st_75110,0.350097,149809,1191,11
052_GHL_id_21_Sensor_tr_50000_1st_98001,0.166121,149809,971,8
053_GHL_id_22_Sensor_tr_50000_1st_126448,0.352695,149809,6492,14
054_GHL_id_23_Sensor_tr_50000_1st_135001,0.356928,149809,3734,2
055_GHL_id_24_Sensor_tr_50000_1st_118124,0.446184,149809,1009,14
056_GHL_id_25_Sensor_tr_50000_1st_105568,0.374512,149809,3144,14
057_SMD_id_1_Facility_tr_4529_1st_4629,0.743181,18973,483,8
058_SMD_id_2_Facility_tr_1087_1st_1187,0.913863,27447,1160,12
059_SMD_id_3_Facility_tr_757_1st_857,0.889939,22740,266,1
060_SMD_id_4_Facility_tr_7176_1st_10609,0.901778,21337,434,31
061_SMD_id_5_Facility_tr_7176_1st_15144,0.845838,21336,1371,31
062_SMD_id_6_Facility_tr_7180_1st_15131,0.923477,21350,1755,14
063_SMD_id_7_Facility_tr_5923_1st_6506,0.822373,17579,1170,25
